Rate,Method,MAE,RMSE,PSNR,SSIM,IoU,Time
0.1,KNN-DBSCAN,37.44509366060164,42.75152137465982,25.475049631136617,0.9213748426894686,0.9252004652016894,7.892427444458008
0.1,K-Means,26.02708929955704,33.66555466394287,27.56253904829216,0.9206465802229168,0.9734221667924776,0.3573617935180664
0.1,Spectral,29.52546824455697,38.162389737091125,26.473543281798424,0.9168918427830126,0.960810632107908,0.8889603614807129
0.1,DBSCAN,44.81377544238543,53.80057069797609,23.490516881005576,0.9053850887745319,0.8801688110926286,8.235595226287842
0.1,DBSCANR,17.274417362067595,25.47636688238643,29.983504642031757,0.9375124748538256,0.9786519469291391,9.996803522109985
0.1,AR-DBSCAN,44.907684643250015,53.852175897234744,23.482189418604076,0.9053165031364766,0.8801688110926286,11.106396913528442
0.1,GB-DBSCAN,44.81377544238543,53.80057069797609,23.490516881005576,0.9053850887745319,0.8801688110926286,46.02455425262451
0.1,HDBSCAN,15.911249523449843,24.491906232926993,30.325802770279676,0.9423578183132061,0.9742263972213451,6.9228904247283936
0.1,KNN-DBSCAN,44.81377544238543,53.80057069797609,23.490516881005576,0.9053850887745319,0.8801688110926286,8.215604543685913
0.1,K-Means,30.84267766523302,36.2800057096614,26.9335486161847,0.9207374748706069,0.9748625950277379,0.4357945919036865
0.1,Spectral,30.43855642043388,40.95738589808615,25.880250950083273,0.9298581691852823,0.9360858647019082,0.8866007328033447
0.1,DBSCAN,42.53102622338362,53.91530812666514,23.49265371988992,0.9147819569809176,0.8919849663490954,9.08031439781189
0.1,DBSCANR,16.84894555600786,24.022964044968635,30.514363725246003,0.9398205312330244,0.9747226921139964,10.463008165359497
0.1,AR-DBSCAN,43.31596574018253,55.278363204190136,23.275792049518515,0.9135513890441889,0.9044917928173858,6.54931116104126
0.1,GB-DBSCAN,38.04579167954895,48.7289038679925,24.371162705774637,0.9186196160164127,0.9044062909877228,45.27307105064392
0.1,HDBSCAN,42.53102622338362,53.91530812666514,23.49265371988992,0.9147819569809176,0.8919849663490954,6.431960105895996
0.1,KNN-DBSCAN,42.53102622338362,53.91530812666514,23.49265371988992,0.9147819569809176,0.8919849663490954,9.076554298400879
0.1,K-Means,27.067842468407083,33.815422181799434,27.39301016574283,0.9240660197605194,0.9629417069771256,0.34084367752075195
0.1,Spectral,26.478234242958436,33.02365700627859,27.59880314561152,0.9250880249797016,0.9530603057452461,0.8895368576049805
0.1,DBSCAN,40.95043934586218,47.74762894420074,24.396270239555268,0.9101785148472455,0.8776817944468409,7.989414215087891
0.1,DBSCANR,17.004148017554705,23.899333886148096,30.40759051175,0.9380352620859733,0.9721909272024798,10.139545440673828
0.1,AR-DBSCAN,40.94542108943688,47.74007089327426,24.39764525217941,0.9101804679005656,0.8776817944468409,4.54857873916626
0.1,GB-DBSCAN,40.95711210972753,47.72524125967163,24.40034379385861,0.9102463513098091,0.8779110036220776,45.374799728393555
0.1,HDBSCAN,15.16386679283607,21.63763680700094,31.271109908415728,0.9416653389655715,0.967143223490191,6.831709384918213
0.1,KNN-DBSCAN,40.95043934586218,47.74762894420074,24.396270239555268,0.9101785148472455,0.8776817944468409,7.97262978553772
0.1,K-Means,32.10454578701204,39.967937601183024,25.664659023543962,0.9222094003457745,0.9748096645228577,0.4710805416107178
0.1,Spectral,35.07803175184671,42.35295629460874,25.161219195294695,0.9209912850326674,0.8696817277288764,0.9283390045166016
0.1,DBSCAN,48.93493253532568,57.49627784909979,22.506099185449084,0.9089421226146885,0.8408013927001269,8.901106119155884
0.1,DBSCANR,14.420074615090329,20.224592182412074,31.581298335488516,0.9436690619063952,0.9739315493842235,10.181779146194458
0.1,AR-DBSCAN,48.868947726523615,57.43186766080427,22.515835005046515,0.9089769896928191,0.8408013927001269,5.067198038101196
0.1,GB-DBSCAN,35.1534802355741,41.918795340438606,25.250717928255323,0.9207318183866193,0.8701477952852082,47.67704701423645
